Dam,Capacity,20_vol,Curr_vol,Curr_vol_pct,Use_vol,Use_vol_pct,Yr_avg,In_vol,In_vol_cum,In_vol_yrpct,Out_vol_today,Out_vol_cum,Report_date
เขื่อนสิริกิติ์,"9,510","5,544","4,068",43,"1,217.95",13,"5,653",16.92,"2,741.19",48.49,0,"3,816.15",2021-09-27
เขื่อนแม่งัด,265,132,97,37,84.99,32,303,0.39,41.75,13.79,0.16,83.85,2021-09-27
เขื่อนกิ่วลม,106,57,73,68,69.16,65,546,2.51,191.48,35.05,0.57,187.60,2021-09-27
เขื่อนแม่กวง,263,107,58,22,43.69,17,185,0.60,71.98,38.99,0.04,112.75,2021-09-27
เขื่อนกิ่วคอหมา,170,100,87,51,80.98,48,225,2.08,75.40,33.56,0.25,58.74,2021-09-27
เขื่อนแควน้อย,939,327,777,83,734.00,78,"1,338",21.12,"1,043.44",77.96,1.12,653.48,2021-09-27
เขื่อนแม่มอก,110,31,119,108,103.34,94,233,9.59,224.90,96.32,7.21,142.98,2021-09-27
รวมภาคเหนือ,"24,825","11,210","11,377",46,"4,632.52",19,"13,995",186.55,"7,082.23",50.61,9.85,"6,768.40",2021-09-27
เขื่อนลำปาว,"1,980",798,902,46,802.02,41,"2,213",28.00,871.93,39.41,0.89,671.71,2021-09-27
เขื่อนลำตะคอง,314,156,246,78,223.59,71,265,5.78,150.07,56.63,0.67,247.30,2021-09-27
เขื่อนลำพระเพลิง,155,87,143,92,141.58,91,171,14.00,225.46,132.07,2.95,229.96,2021-09-27
เขื่อนน้ำอูน,520,230,280,54,235.22,45,446,2.40,194.23,43.57,0,90.87,2021-09-27
เขื่อนอุบลรัตน์,"2,431",603,"1,407",58,826.19,34,"2,476",69.30,"1,500.93",60.62,5.00,"1,208.24",2021-09-27
เขื่อนสิรินธร,"1,966","1,523","1,555",79,723.60,37,"1,668",29.20,830.47,49.78,6.01,413.34,2021-09-27
เขื่อนจุฬาภรณ์,164,108,167,102,130.10,79,160,23.41,206.45,128.90,3.58,138.37,2021-09-27
เขื่อนห้วยหลวง,136,47,62,46,55.26,41,161,2.60,52.05,32.43,0.11,32.39,2021-09-27
เขื่อนลำนางรอง,121,28,95,79,91.93,76,52,3.99,45.35,87.67,0,18.34,2021-09-27
เขื่อนมูลบน,141,41,127,90,120.45,85,97,2.79,76.80,79.02,0.10,82.07,2021-09-27
เขื่อนน้ำพุง,165,72,80,49,72.18,44,134,1.41,80.17,59.68,0,63.46,2021-09-27
เขื่อนลำแซะ,275,55,224,81,216.94,79,200,3.86,172.84,86.62,0.55,160.97,2021-09-27
รวมภาคตะวันออกเฉียงเหนือ,"8,368","3,749","5,290",63,"3,639.06",43,"8,042",186.74,"4,406.75",54.80,19.86,"3,357.02",2021-09-27
เขื่อนป่าสักฯ,960,314,705,73,701.96,73,"2,239",106.78,813.11,36.31,8.64,620.24,2021-09-27
เขื่อนกระเสียว,299,72,224,75,184.40,62,327,15.07,243.35,74.35,0,202.85,2021-09-27
เขื่อนทับเสลา,160,40,134,84,116.91,73,132,26.72,118.41,89.96,0,88.21,2021-09-27
รวมภาคกลาง,"1,419",425,"1,063",75,"1,003.27",71,"2,698",148.57,"1,174.87",43.54,8.64,911.30,2021-09-27
เขื่อนศรีนครินทร์,"17,745","12,061","13,781",78,"3,515.61",20,"4,617",105.54,"4,088.83",88.56,4.97,"2,879.37",2021-09-27
เขื่อนวชิราลงกรณ,"8,860","4,169","6,938",78,"3,926.40",44,"5,417",46.39,"4,809.22",88.78,5.11,"2,309.36",2021-09-27
รวมภาคตะวันตก,"26,605","16,230","20,719",78,"7,442.01",28,"10,034",151.93,"8,898.05",88.68,10.08,"5,188.73",2021-09-27
